401;2019;1893528;https://data.census.gov/cedsci/table?q=S2702&tid=ACSST5Y2019.S2702;301;201;108
402;2018;18452;https://data.census.gov/cedsci/table?q=S2702&tid=ACSST5Y2019.S2703;301;201;108
403;2017;12354;https://data.census.gov/cedsci/table?q=S2702&tid=ACSST5Y2019.S2704;301;201;108
404;2019;9602;https://data.census.gov/cedsci/table?q=S2702&tid=ACSST5Y2019.S2705;302;201;108
405;2018;54412;https://data.census.gov/cedsci/table?q=S2702&tid=ACSST5Y2019.S2706;302;201;108
406;2017;78941;https://data.census.gov/cedsci/table?q=S2702&tid=ACSST5Y2019.S2707;302;201;108
407;2019;78541;https://data.census.gov/cedsci/table?q=S2702&tid=ACSST5Y2019.S2708;303;201;108
408;2018;7521;https://data.census.gov/cedsci/table?q=S2702&tid=ACSST5Y2019.S2709;303;201;108
409;2017;745112;https://data.census.gov/cedsci/table?q=S2702&tid=ACSST5Y2019.S2710;303;201;108
410;2019;9452;https://data.census.gov/cedsci/table?q=S2702&tid=ACSST5Y2019.S2711;304;201;108
411;2018;4585;https://data.census.gov/cedsci/table?q=S2702&tid=ACSST5Y2019.S2712;304;201;108
412;2017;4562;https://data.census.gov/cedsci/table?q=S2702&tid=ACSST5Y2019.S2713;304;201;108
413;2019;8677985;https://data.census.gov/cedsci/table?q=S2702&tid=ACSST5Y2019.S2714;305;201;108
414;2018;15212;https://data.census.gov/cedsci/table?q=S2702&tid=ACSST5Y2019.S2715;305;201;108
415;2017;23110;https://data.census.gov/cedsci/table?q=S2702&tid=ACSST5Y2019.S2716;305;201;108
416;2019;2152032;https://data.census.gov/cedsci/table?q=S2702&tid=ACSST5Y2019.S2717;306;201;108
417;2018;75415;https://data.census.gov/cedsci/table?q=S2702&tid=ACSST5Y2019.S2718;306;201;108
418;2017;14251;https://data.census.gov/cedsci/table?q=S2702&tid=ACSST5Y2019.S2719;306;201;108
419;2019;78979;https://data.census.gov/cedsci/table?q=S2702&tid=ACSST5Y2019.S2720;307;201;108
420;2018;14234;https://data.census.gov/cedsci/table?q=S2702&tid=ACSST5Y2019.S2721;307;201;108
421;2017;124435;https://data.census.gov/cedsci/table?q=S2702&tid=ACSST5Y2019.S2722;307;201;108
